Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
201297AB00104,259330,664690,-4.248832,55.854865,97,3,1,1,01-Apr-12,1,11:50:00,926,S12000043,6,0,2,30,3,4,3,8,0,0,1,1,1,0,0,1,2,
201297AB00105,259640,664880,-4.243982,55.856662,97,3,3,1,01-May-12,3,06:20:00,926,S12000043,6,0,3,30,6,2,6,0,0,4,1,1,1,0,0,1,1,
201297AB00109,258920,665700,-4.255902,55.863814,97,3,1,1,02-Sep-12,1,03:30:00,926,S12000043,6,0,6,30,0,-1,-1,0,0,4,1,1,2,0,0,1,1,
201297AB00111,258810,664970,-4.257277,55.857227,97,3,2,1,01-Nov-12,5,18:30:00,926,S12000043,6,0,2,30,9,2,6,0,0,4,4,2,2,4,0,1,2,
201297AB00112,259090,665820,-4.25325,55.864941,97,3,1,1,01-Dec-12,7,16:45:00,926,S12000043,6,0,3,30,0,-1,-1,0,0,4,4,1,1,0,0,1,1,
201297AB00203,258720,665670,-4.259079,55.863486,97,2,1,1,01-Mar-12,5,08:45:00,926,S12000043,6,0,2,30,6,4,6,0,0,0,1,1,1,0,0,1,1,
201297AB00208,258650,664900,-4.259795,55.856552,97,2,2,4,04-Aug-12,7,05:00:00,926,S12000043,3,814,3,30,6,2,6,0,2,5,4,1,1,0,0,1,2,
201297AB00209,258840,665170,-4.256903,55.859032,97,3,1,1,07-Sep-12,6,16:15:00,926,S12000043,6,0,2,30,0,-1,-1,0,0,0,1,1,1,0,0,1,2,
201297AB00210,259800,665310,-4.24165,55.860569,97,3,1,1,02-Oct-12,3,13:34:00,926,S12000043,6,0,6,30,9,4,6,0,0,0,1,2,2,0,0,1,1,
201297AB00301,258930,665870,-4.25583,55.865343,97,3,1,1,05-Jan-12,5,16:40:00,926,S12000043,6,0,3,30,0,-1,-1,0,0,4,4,1,1,0,0,1,1,
201297AB00310,258200,666050,-4.26758,55.866745,97,3,1,1,02-Oct-12,3,15:10:00,926,S12000043,6,0,2,30,6,1,6,0,1,0,1,1,1,0,0,1,1,
201297AB00312,259190,665810,-4.251648,55.86488,97,3,1,1,03-Dec-12,2,12:30:00,926,S12000043,6,0,6,30,0,-1,-1,0,0,0,1,1,2,0,0,1,1,
